Altium Designer Pick and Place Locations
D:\LocalRepo\ImbueLight\imbuelight-stair-controller\hardware\imbuelight_move_detection_ver_1.0\Project Outputs for imbuelight_move_detection_ver_2.0\Pick Place\Pick Place for imbuelight_move_detection — panel.csv

========================================================================================================================
File Design Information:

Date:       02.08.23
Time:       12:59
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R7","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","29.0366","0","Generic Resistor SMD"
"Q1","TEMT6000X01","TopLayer","VSIL-TEMT6000X01_V","22.0000","27.0000","0","Ambient Light Sensor
, 100 mW, -40 to 100 degC, 3-Pin SMD, RoHS, Tape and Reel"
"C6","0603 1uF 10V","BottomLayer","CAP_SMD_0603","22.9404","29.0366","0","Capacitor"
"R6","0603 10kOhm 1%","BottomLayer","RES_0603","22.9410","27.3856","180","Generic Resistor SMD"
"U1","MCP1804T-3302I/OT","BottomLayer","SOT-23-5","13.7310","18.4676","90","Regulatro LDO 3,3V"
"R2","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","24.2106","180","Generic Resistor SMD"
"R1","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","25.8616","180","Generic Resistor SMD"
"C2","0603 1uF 10V","BottomLayer","CAP_SMD_0603","13.7310","21.0776","0","Capacitor"
"C1","0805 1uF 20V","BottomLayer","CAP_SMD_0805","13.6231","15.6080","0","Capacitor"
"P2","15EDGRC-3.5-3P","BottomLayer","15EDGVC-3.5-03P-14-00A(H)","22.0000","11.7164","0","15EDGVC-3.5-03P-14-00A(H) - 3 pin"
"R5","0603 1kOhm 1%","BottomLayer","RES_0603","26.4970","19.5116","180","Generic Resistor SMD"
"R4","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","27.3856","0","Generic Resistor SMD"
"R3","0603 10Ohm 1%","BottomLayer","RES_0603","22.0000","16.3698","90","Generic Resistor SMD"
"P1","HEADER_1X3_2.54_0DEG_THT","BottomLayer","HDR1X4","31.1960","12.9076","90","4pin 1x4 2.54mm 0.100" pitch header vertical tht"
"D3","Dioda LED SMD 1206","TopLayer","LED_SMD_1206","22.0000","17.0000","270","Dioda LED SMD 1206"
"D2","TVS0500DRVR","BottomLayer","FP-DRV0006A-IPC_C","24.5498","16.7736","180","ESD Suppressors / TVS Diodes 5V flat-clamp surge protection device 6-WSON -40 to 125"
"C5","0603 1uF 10V","BottomLayer","CAP_SMD_0603","9.1638","21.1626","0","Capacitor"
"C4","0603 1uF 10V","BottomLayer","CAP_SMD_0603","26.4970","22.6866","180","Capacitor"
"C3","0603 1uF 10V","BottomLayer","CAP_SMD_0603","26.4970","21.1626","180","Capacitor"
"U3","BC805M","BottomLayer","BC805","13.5230","26.7526","180","Bluetooth Low Energy (BLE) 5 Module"
"U2","VL53L0CXV0DH/1","TopLayer","FP-LGA-12-MFG","22.0000","22.0000","0","SENSOR OPTICAL 200CM I2C"
"D1","BAT43W-E3-08","BottomLayer","SOD-123","14.5590","12.1456","270","Dioda SMD"
"R7","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","61.0366","0","Generic Resistor SMD"
"Q1","TEMT6000X01","TopLayer","VSIL-TEMT6000X01_V","22.0000","59.0000","0","Ambient Light Sensor
, 100 mW, -40 to 100 degC, 3-Pin SMD, RoHS, Tape and Reel"
"C6","0603 1uF 10V","BottomLayer","CAP_SMD_0603","22.9404","61.0366","0","Capacitor"
"R6","0603 10kOhm 1%","BottomLayer","RES_0603","22.9410","59.3856","180","Generic Resistor SMD"
"U1","MCP1804T-3302I/OT","BottomLayer","SOT-23-5","13.7310","50.4676","90","Regulatro LDO 3,3V"
"R2","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","56.2106","180","Generic Resistor SMD"
"R1","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","57.8616","180","Generic Resistor SMD"
"C2","0603 1uF 10V","BottomLayer","CAP_SMD_0603","13.7310","53.0776","0","Capacitor"
"C1","0805 1uF 20V","BottomLayer","CAP_SMD_0805","13.6231","47.6080","0","Capacitor"
"P2","15EDGRC-3.5-3P","BottomLayer","15EDGVC-3.5-03P-14-00A(H)","22.0000","43.7164","0","15EDGVC-3.5-03P-14-00A(H) - 3 pin"
"R5","0603 1kOhm 1%","BottomLayer","RES_0603","26.4970","51.5116","180","Generic Resistor SMD"
"R4","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","59.3856","0","Generic Resistor SMD"
"R3","0603 10Ohm 1%","BottomLayer","RES_0603","22.0000","48.3698","90","Generic Resistor SMD"
"P1","HEADER_1X3_2.54_0DEG_THT","BottomLayer","HDR1X4","31.1960","44.9076","90","4pin 1x4 2.54mm 0.100" pitch header vertical tht"
"D3","Dioda LED SMD 1206","TopLayer","LED_SMD_1206","22.0000","49.0000","270","Dioda LED SMD 1206"
"D2","TVS0500DRVR","BottomLayer","FP-DRV0006A-IPC_C","24.5498","48.7736","180","ESD Suppressors / TVS Diodes 5V flat-clamp surge protection device 6-WSON -40 to 125"
"C5","0603 1uF 10V","BottomLayer","CAP_SMD_0603","9.1638","53.1626","0","Capacitor"
"C4","0603 1uF 10V","BottomLayer","CAP_SMD_0603","26.4970","54.6866","180","Capacitor"
"C3","0603 1uF 10V","BottomLayer","CAP_SMD_0603","26.4970","53.1626","180","Capacitor"
"U3","BC805M","BottomLayer","BC805","13.5230","58.7526","180","Bluetooth Low Energy (BLE) 5 Module"
"U2","VL53L0CXV0DH/1","TopLayer","FP-LGA-12-MFG","22.0000","54.0000","0","SENSOR OPTICAL 200CM I2C"
"D1","BAT43W-E3-08","BottomLayer","SOD-123","14.5590","44.1456","270","Dioda SMD"
"R7","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","93.0366","0","Generic Resistor SMD"
"Q1","TEMT6000X01","TopLayer","VSIL-TEMT6000X01_V","22.0000","91.0001","0","Ambient Light Sensor
, 100 mW, -40 to 100 degC, 3-Pin SMD, RoHS, Tape and Reel"
"C6","0603 1uF 10V","BottomLayer","CAP_SMD_0603","22.9404","93.0366","0","Capacitor"
"R6","0603 10kOhm 1%","BottomLayer","RES_0603","22.9410","91.3856","180","Generic Resistor SMD"
"U1","MCP1804T-3302I/OT","BottomLayer","SOT-23-5","13.7310","82.4676","90","Regulatro LDO 3,3V"
"R2","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","88.2106","180","Generic Resistor SMD"
"R1","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","89.8616","180","Generic Resistor SMD"
"C2","0603 1uF 10V","BottomLayer","CAP_SMD_0603","13.7310","85.0776","0","Capacitor"
"C1","0805 1uF 20V","BottomLayer","CAP_SMD_0805","13.6231","79.6080","0","Capacitor"
"P2","15EDGRC-3.5-3P","BottomLayer","15EDGVC-3.5-03P-14-00A(H)","22.0000","75.7164","0","15EDGVC-3.5-03P-14-00A(H) - 3 pin"
"R5","0603 1kOhm 1%","BottomLayer","RES_0603","26.4970","83.5116","180","Generic Resistor SMD"
"R4","0603 10kOhm 1%","BottomLayer","RES_0603","26.4970","91.3856","0","Generic Resistor SMD"
"R3","0603 10Ohm 1%","BottomLayer","RES_0603","22.0000","80.3698","90","Generic Resistor SMD"
"P1","HEADER_1X3_2.54_0DEG_THT","BottomLayer","HDR1X4","31.1960","76.9076","90","4pin 1x4 2.54mm 0.100" pitch header vertical tht"
"D3","Dioda LED SMD 1206","TopLayer","LED_SMD_1206","22.0000","81.0000","270","Dioda LED SMD 1206"
"D2","TVS0500DRVR","BottomLayer","FP-DRV0006A-IPC_C","24.5498","80.7736","180","ESD Suppressors / TVS Diodes 5V flat-clamp surge protection device 6-WSON -40 to 125"
"C5","0603 1uF 10V","BottomLayer","CAP_SMD_0603","9.1638","85.1626","0","Capacitor"
"C4","0603 1uF 10V","BottomLayer","CAP_SMD_0603","26.4970","86.6866","180","Capacitor"
"C3","0603 1uF 10V","BottomLayer","CAP_SMD_0603","26.4970","85.1626","180","Capacitor"
"U3","BC805M","BottomLayer","BC805","13.5230","90.7526","180","Bluetooth Low Energy (BLE) 5 Module"
"U2","VL53L0CXV0DH/1","TopLayer","FP-LGA-12-MFG","22.0000","86.0001","0","SENSOR OPTICAL 200CM I2C"
"D1","BAT43W-E3-08","BottomLayer","SOD-123","14.5590","76.1456","270","Dioda SMD"
"R7","0603 10kOhm 1%","BottomLayer","RES_0603","58.4971","29.0366","0","Generic Resistor SMD"
"Q1","TEMT6000X01","TopLayer","VSIL-TEMT6000X01_V","54.0000","27.0000","0","Ambient Light Sensor
, 100 mW, -40 to 100 degC, 3-Pin SMD, RoHS, Tape and Reel"
"C6","0603 1uF 10V","BottomLayer","CAP_SMD_0603","54.9404","29.0366","0","Capacitor"
"R6","0603 10kOhm 1%","BottomLayer","RES_0603","54.9411","27.3856","180","Generic Resistor SMD"
"U1","MCP1804T-3302I/OT","BottomLayer","SOT-23-5","45.7311","18.4676","90","Regulatro LDO 3,3V"
"R2","0603 10kOhm 1%","BottomLayer","RES_0603","58.4971","24.2106","180","Generic Resistor SMD"
"R1","0603 10kOhm 1%","BottomLayer","RES_0603","58.4971","25.8616","180","Generic Resistor SMD"
"C2","0603 1uF 10V","BottomLayer","CAP_SMD_0603","45.7311","21.0776","0","Capacitor"
"C1","0805 1uF 20V","BottomLayer","CAP_SMD_0805","45.6232","15.6080","0","Capacitor"
"P2","15EDGRC-3.5-3P","BottomLayer","15EDGVC-3.5-03P-14-00A(H)","54.0000","11.7164","0","15EDGVC-3.5-03P-14-00A(H) - 3 pin"
"R5","0603 1kOhm 1%","BottomLayer","RES_0603","58.4971","19.5116","180","Generic Resistor SMD"
"R4","0603 10kOhm 1%","BottomLayer","RES_0603","58.4971","27.3856","0","Generic Resistor SMD"
"R3","0603 10Ohm 1%","BottomLayer","RES_0603","54.0001","16.3698","90","Generic Resistor SMD"
"P1","HEADER_1X3_2.54_0DEG_THT","BottomLayer","HDR1X4","63.1961","12.9076","90","4pin 1x4 2.54mm 0.100" pitch header vertical tht"
"D3","Dioda LED SMD 1206","TopLayer","LED_SMD_1206","54.0000","17.0000","270","Dioda LED SMD 1206"
"D2","TVS0500DRVR","BottomLayer","FP-DRV0006A-IPC_C","56.5499","16.7736","180","ESD Suppressors / TVS Diodes 5V flat-clamp surge protection device 6-WSON -40 to 125"
"C5","0603 1uF 10V","BottomLayer","CAP_SMD_0603","41.1638","21.1626","0","Capacitor"
"C4","0603 1uF 10V","BottomLayer","CAP_SMD_0603","58.4971","22.6866","180","Capacitor"
"C3","0603 1uF 10V","BottomLayer","CAP_SMD_0603","58.4971","21.1626","180","Capacitor"
"U3","BC805M","BottomLayer","BC805","45.5230","26.7526","180","Bluetooth Low Energy (BLE) 5 Module"
"U2","VL53L0CXV0DH/1","TopLayer","FP-LGA-12-MFG","54.0000","22.0000","0","SENSOR OPTICAL 200CM I2C"
"D1","BAT43W-E3-08","BottomLayer","SOD-123","46.5591","12.1456","270","Dioda SMD"
"R7","0603 10kOhm 1%","BottomLayer","RES_0603","58.4971","61.0366","0","Generic Resistor SMD"
"Q1","TEMT6000X01","TopLayer","VSIL-TEMT6000X01_V","54.0000","59.0000","0","Ambient Light Sensor
, 100 mW, -40 to 100 degC, 3-Pin SMD, RoHS, Tape and Reel"
"C6","0603 1uF 10V","BottomLayer","CAP_SMD_0603","54.9404","61.0366","0","Capacitor"
"R6","0603 10kOhm 1%","BottomLayer","RES_0603","54.9411","59.3856","180","Generic Resistor SMD"
"U1","MCP1804T-3302I/OT","BottomLayer","SOT-23-5","45.7311","50.4676","90","Regulatro LDO 3,3V"
"R2","0603 10kOhm 1%","BottomLayer","RES_0603","58.4971","56.2106","180","Generic Resistor SMD"
"R1","0603 10kOhm 1%","BottomLayer","RES_0603","58.4971","57.8616","180","Generic Resistor SMD"
"C2","0603 1uF 10V","BottomLayer","CAP_SMD_0603","45.7311","53.0776","0","Capacitor"
"C1","0805 1uF 20V","BottomLayer","CAP_SMD_0805","45.6232","47.6080","0","Capacitor"
"P2","15EDGRC-3.5-3P","BottomLayer","15EDGVC-3.5-03P-14-00A(H)","54.0000","43.7164","0","15EDGVC-3.5-03P-14-00A(H) - 3 pin"
"R5","0603 1kOhm 1%","BottomLayer","RES_0603","58.4971","51.5116","180","Generic Resistor SMD"
"R4","0603 10kOhm 1%","BottomLayer","RES_0603","58.4971","59.3856","0","Generic Resistor SMD"
"R3","0603 10Ohm 1%","BottomLayer","RES_0603","54.0001","48.3698","90","Generic Resistor SMD"
"P1","HEADER_1X3_2.54_0DEG_THT","BottomLayer","HDR1X4","63.1961","44.9076","90","4pin 1x4 2.54mm 0.100" pitch header vertical tht"
"D3","Dioda LED SMD 1206","TopLayer","LED_SMD_1206","54.0000","49.0000","270","Dioda LED SMD 1206"
"D2","TVS0500DRVR","BottomLayer","FP-DRV0006A-IPC_C","56.5499","48.7736","180","ESD Suppressors / TVS Diodes 5V flat-clamp surge protection device 6-WSON -40 to 125"
"C5","0603 1uF 10V","BottomLayer","CAP_SMD_0603","41.1638","53.1626","0","Capacitor"
"C4","0603 1uF 10V","BottomLayer","CAP_SMD_0603","58.4971","54.6866","180","Capacitor"
"C3","0603 1uF 10V","BottomLayer","CAP_SMD_0603","58.4971","53.1626","180","Capacitor"
"U3","BC805M","BottomLayer","BC805","45.5230","58.7526","180","Bluetooth Low Energy (BLE) 5 Module"
"U2","VL53L0CXV0DH/1","TopLayer","FP-LGA-12-MFG","54.0000","54.0000","0","SENSOR OPTICAL 200CM I2C"
"D1","BAT43W-E3-08","BottomLayer","SOD-123","46.5591","44.1456","270","Dioda SMD"
"R7","0603 10kOhm 1%","BottomLayer","RES_0603","58.4971","93.0366","0","Generic Resistor SMD"
"Q1","TEMT6000X01","TopLayer","VSIL-TEMT6000X01_V","54.0000","91.0001","0","Ambient Light Sensor
, 100 mW, -40 to 100 degC, 3-Pin SMD, RoHS, Tape and Reel"
"C6","0603 1uF 10V","BottomLayer","CAP_SMD_0603","54.9404","93.0366","0","Capacitor"
"R6","0603 10kOhm 1%","BottomLayer","RES_0603","54.9411","91.3856","180","Generic Resistor SMD"
"U1","MCP1804T-3302I/OT","BottomLayer","SOT-23-5","45.7311","82.4676","90","Regulatro LDO 3,3V"
"R2","0603 10kOhm 1%","BottomLayer","RES_0603","58.4971","88.2106","180","Generic Resistor SMD"
"R1","0603 10kOhm 1%","BottomLayer","RES_0603","58.4971","89.8616","180","Generic Resistor SMD"
"C2","0603 1uF 10V","BottomLayer","CAP_SMD_0603","45.7311","85.0776","0","Capacitor"
"C1","0805 1uF 20V","BottomLayer","CAP_SMD_0805","45.6232","79.6080","0","Capacitor"
"P2","15EDGRC-3.5-3P","BottomLayer","15EDGVC-3.5-03P-14-00A(H)","54.0000","75.7164","0","15EDGVC-3.5-03P-14-00A(H) - 3 pin"
"R5","0603 1kOhm 1%","BottomLayer","RES_0603","58.4971","83.5116","180","Generic Resistor SMD"
"R4","0603 10kOhm 1%","BottomLayer","RES_0603","58.4971","91.3856","0","Generic Resistor SMD"
"R3","0603 10Ohm 1%","BottomLayer","RES_0603","54.0001","80.3698","90","Generic Resistor SMD"
"P1","HEADER_1X3_2.54_0DEG_THT","BottomLayer","HDR1X4","63.1961","76.9076","90","4pin 1x4 2.54mm 0.100" pitch header vertical tht"
"D3","Dioda LED SMD 1206","TopLayer","LED_SMD_1206","54.0000","81.0000","270","Dioda LED SMD 1206"
"D2","TVS0500DRVR","BottomLayer","FP-DRV0006A-IPC_C","56.5499","80.7736","180","ESD Suppressors / TVS Diodes 5V flat-clamp surge protection device 6-WSON -40 to 125"
"C5","0603 1uF 10V","BottomLayer","CAP_SMD_0603","41.1638","85.1626","0","Capacitor"
"C4","0603 1uF 10V","BottomLayer","CAP_SMD_0603","58.4971","86.6866","180","Capacitor"
"C3","0603 1uF 10V","BottomLayer","CAP_SMD_0603","58.4971","85.1626","180","Capacitor"
"U3","BC805M","BottomLayer","BC805","45.5230","90.7526","180","Bluetooth Low Energy (BLE) 5 Module"
